Age,Gender,Income,Socks_Owned,Frequent_Losers,City_Location
66,Female,53625,9,False,Los Angeles
68,Male,119889,4,False,San Jose
20,Male,59012,16,False,Columbus
66,Male,117447,5,False,Austin
42,Female,26721,2,False,San Antonio
35,Male,45534,6,False,Indianapolis
58,Male,67857,16,False,San Diego
65,Male,70834,15,False,Austin
46,Female,103185,8,False,Phoenix
51,Male,33427,11,False,Washington
75,Male,147247,5,False,Dallas
47,Female,42147,4,False,Phoenix
40,Male,90960,18,False,Los Angeles
72,Male,129605,11,False,Los Angeles
41,Male,112139,11,False,Austin
76,Male,85158,7,False,New York
38,Male,59606,1,False,Los Angeles
45,Male,60461,15,False,San Antonio
11,Female,38123,4,False,Chicago
60,Female,64116,5,False,Phoenix
64,Male,66323,20,False,Chicago
60,Male,32065,8,False,Columbus
47,Male,134836,3,False,San Antonio
32,Male,22686,14,False,Charlotte
48,Male,70083,16,False,San Diego
81,Male,120327,9,False,Washington
48,Male,21342,3,False,Chicago
56,Female,118601,18,False,Dallas
57,Female,91600,10,False,Los Angeles
16,Male,26214,13,False,Fort Worth
71,Female,139380,19,False,San Jose
63,Female,125097,20,False,San Antonio
78,Male,126772,18,False,Washington
47,Female,51856,9,False,San Francisco
28,Male,90607,15,False,Phoenix
56,Male,96350,12,False,Charlotte
65,Male,48760,6,False,Charlotte
40,Male,91756,8,False,Columbus
70,Female,97694,16,False,Seattle
15,Male,46742,17,False,Denver
50,Female,43345,6,False,San Diego
41,Male,114490,15,False,Charlotte
39,Female,102148,6,False,San Diego
62,Male,115367,11,False,Los Angeles
48,Male,128957,10,False,Philadelphia
54,Male,60926,5,True,Denver
68,Male,114330,14,False,Dallas
55,Female,21734,18,False,Phoenix
70,Male,95805,12,True,Denver
84,Female,130609,15,False,Chicago
42,Male,63030,5,False,San Jose
38,Male,78405,16,False,Philadelphia
43,Female,42523,1,False,Chicago
72,Male,130316,9,False,San Diego
41,Male,60183,15,False,Columbus
72,Female,103304,5,False,Chicago
74,Female,76861,17,False,Fort Worth
73,Female,82582,14,False,Jacksonville
65,Female,58685,10,False,Dallas
68,Female,59879,10,False,San Diego
42,Female,100331,2,False,Philadelphia
48,Male,38505,12,False,Denver
16,Female,53350,17,False,Denver
43,Male,130502,3,False,Charlotte
62,Female,48944,9,False,Philadelphia
60,Male,78847,12,False,Fort Worth
59,Female,39780,8,False,San Francisco
45,Female,93065,2,False,Denver
79,Female,101620,10,False,San Jose
30,Male,95742,6,False,Seattle
25,Male,78291,17,False,Fort Worth
62,Male,111982,8,False,Charlotte
59,Female,117420,18,False,Indianapolis
81,Male,142605,14,False,San Jose
45,Female,50704,14,False,Philadelphia
52,Male,67110,14,False,Jacksonville
16,Female,55543,11,False,Philadelphia
32,Male,49172,5,False,Charlotte
42,Female,131683,13,False,San Jose
67,Female,52571,3,False,San Francisco
55,Female,44168,1,False,Jacksonville
51,Female,84978,8,False,Jacksonville
47,Male,55245,14,False,San Diego
33,Female,92226,7,False,Seattle
65,Female,108092,8,False,San Francisco
24,Female,70531,5,False,Chicago
28,Male,60566,1,False,Houston
21,Male,23105,8,False,San Antonio
54,Male,58791,9,False,Austin
34,Female,40417,1,False,Houston
28,Male,80675,4,False,Denver
77,Female,85345,9,False,Jacksonville
61,Male,90493,2,False,Columbus
42,Female,117592,4,False,Charlotte
34,Female,46460,20,False,San Antonio
25,Female,52387,17,False,Jacksonville
86,Female,125812,18,False,San Antonio
27,Female,44264,12,False,Charlotte
45,Female,45025,8,False,Columbus
50,Female,132019,8,False,Charlotte
48,Male,137749,6,False,Fort Worth
60,Male,143504,5,False,Houston
68,Female,126080,15,False,Washington
22,Male,68950,12,False,Seattle
26,Male,27173,20,False,Indianapolis
72,Female,117820,4,False,Dallas
45,Female,89967,17,False,Jacksonville
60,Female,112003,17,False,Columbus
47,Male,143780,14,False,Los Angeles
36,Female,60612,19,False,Austin
29,Male,36776,11,False,San Jose
58,Female,87551,15,False,San Jose
14,Male,30788,4,False,Houston
98,Female,149505,7,False,Charlotte
54,Female,49094,6,False,Chicago
54,Female,74846,7,False,San Antonio
73,Male,109326,10,False,Chicago
65,Female,88857,17,False,Dallas
51,Female,109784,4,False,Fort Worth
54,Male,53014,6,False,Columbus
21,Female,71751,7,False,Austin
26,Male,56828,9,False,San Antonio
66,Female,124511,6,False,Fort Worth
62,Male,121086,11,False,Fort Worth
62,Female,45721,11,False,Fort Worth
41,Female,65698,7,False,Fort Worth
57,Male,87370,17,False,Los Angeles
62,Female,107164,12,False,Chicago
72,Male,101432,1,False,Fort Worth
81,Female,148822,9,False,Houston
37,Male,101257,15,False,Charlotte
58,Female,137795,9,False,Charlotte
69,Female,138891,7,False,Los Angeles
63,Female,55001,8,False,Columbus
65,Male,50156,16,False,San Antonio
63,Male,51334,12,False,Austin
8,Female,28210,10,False,Phoenix
11,Male,39343,3,False,Denver
63,Female,56585,5,False,Seattle
21,Female,38525,20,False,San Diego
42,Male,122118,18,False,San Jose
50,Female,50050,20,False,New York
78,Male,148897,10,False,Jacksonville
37,Male,93855,16,False,Houston
77,Female,118240,16,False,Fort Worth
53,Female,63322,16,False,Washington
41,Female,77333,13,False,San Francisco
70,Male,77135,13,False,Washington
28,Male,46604,5,False,San Antonio
36,Male,108445,5,False,New York
63,Female,140578,11,False,Washington
69,Male,144825,4,False,Seattle
64,Female,103803,6,False,Denver
42,Female,64506,20,False,Columbus
98,Female,148397,9,False,San Jose
55,Female,142097,15,False,Los Angeles
71,Female,77322,3,False,Denver
51,Male,138386,5,False,Fort Worth
65,Female,96951,9,False,Los Angeles
68,Male,101314,8,False,Los Angeles
85,Female,144531,12,False,Chicago
30,Male,40449,8,False,Jacksonville
61,Male,88094,19,False,San Francisco
56,Female,34807,20,False,Los Angeles
71,Female,148261,2,False,New York
66,Male,102680,8,False,Houston
64,Female,127197,2,False,Dallas
70,Female,132094,6,False,Austin
45,Male,92183,1,False,San Jose
92,Male,147708,20,False,Seattle
22,Female,22303,4,False,Phoenix
16,Male,51011,19,False,Chicago
64,Female,97084,19,False,Charlotte
45,Female,98988,4,False,Philadelphia
55,Male,51623,2,False,Washington
68,Male,105646,13,False,Washington
78,Female,144192,19,False,Denver
40,Female,117018,5,False,Seattle
65,Male,106872,12,False,Chicago
47,Male,110255,14,False,Washington
45,Female,81524,20,False,Jacksonville
58,Female,39123,15,False,San Antonio
55,Male,114308,4,False,Charlotte
26,Female,64268,16,False,Dallas
43,Male,118128,14,False,San Jose
21,Female,64449,7,False,Los Angeles
50,Male,110316,8,False,Fort Worth
60,Female,91457,5,False,San Antonio
79,Female,104094,15,False,Charlotte
53,Female,134602,3,False,Philadelphia
57,Female,27100,20,False,Chicago
45,Male,80366,8,False,San Jose
60,Male,125320,16,False,Philadelphia
52,Female,27957,14,False,Los Angeles
48,Male,65362,10,False,Indianapolis
57,Male,67363,2,False,Indianapolis
78,Male,130332,11,False,Los Angeles
71,Female,87760,14,False,San Diego
73,Female,77070,20,False,Chicago
33,Female,85190,15,False,Los Angeles
39,Female,45302,4,False,Houston
64,Female,121580,2,False,Seattle
62,Female,93927,19,False,Jacksonville
67,Male,147488,9,False,Houston
41,Female,43720,19,False,Charlotte
42,Female,36817,11,False,Columbus
69,Female,133148,13,False,San Jose
71,Female,82928,8,False,San Diego
62,Female,97584,12,False,Philadelphia
36,Male,103207,18,False,San Antonio
94,Female,147554,13,False,Los Angeles
23,Female,21884,7,False,San Francisco
47,Female,138901,9,False,Seattle
50,Male,56949,6,False,Philadelphia
84,Female,114442,12,False,Philadelphia
43,Male,89953,3,False,Philadelphia
82,Male,124705,5,False,San Francisco
42,Male,51727,12,False,Los Angeles
68,Male,124464,14,False,Columbus
75,Female,148584,10,False,Dallas
58,Female,47296,1,False,Denver
93,Male,129020,20,False,Chicago
48,Male,136444,13,False,Chicago
45,Female,41173,17,False,Charlotte
46,Female,25483,8,False,Chicago
56,Male,68376,4,False,New York
32,Female,35813,2,False,San Francisco
34,Male,26762,13,False,Washington
83,Male,113061,2,False,Chicago
85,Male,127443,10,False,Dallas
64,Female,43652,11,False,Jacksonville
60,Male,96588,16,False,Los Angeles
66,Male,102688,3,False,San Diego
54,Male,72047,13,False,Chicago
60,Male,35154,11,False,San Jose
41,Female,69546,12,False,San Francisco
55,Male,78133,2,False,Phoenix
47,Male,83137,1,False,Chicago
75,Female,135584,14,False,Los Angeles
14,Male,42860,4,False,San Diego
37,Male,68176,14,False,Philadelphia
42,Male,61325,7,False,Austin
47,Male,24912,15,False,Washington
55,Male,83993,18,False,Phoenix
8,Female,25801,3,False,San Diego
79,Female,127099,5,False,Fort Worth
62,Female,59856,7,False,Charlotte
41,Female,60204,18,False,Charlotte
63,Male,48901,8,False,Indianapolis
38,Male,27005,11,False,Chicago
59,Male,46361,7,False,Indianapolis
33,Male,42755,18,False,Dallas
35,Female,46307,19,False,Columbus
34,Male,105133,11,False,Philadelphia
39,Male,45507,18,False,Los Angeles
47,Male,24791,14,False,San Antonio
44,Male,137974,18,False,Philadelphia
50,Female,83044,18,False,Denver
60,Female,139853,20,False,Phoenix
61,Male,73262,6,False,San Jose
67,Male,111478,3,False,San Diego
53,Male,143015,11,False,San Diego
79,Male,119961,10,False,Chicago
52,Male,22743,5,False,San Francisco
77,Female,123690,5,False,Jacksonville
37,Female,35046,8,False,Chicago
57,Male,56758,4,False,San Jose
66,Female,131276,13,False,Jacksonville
59,Female,82061,20,False,Chicago
64,Female,52360,11,False,Los Angeles
35,Female,39866,6,False,Seattle
44,Male,70974,6,False,Fort Worth
31,Male,63182,12,False,New York
36,Male,98324,10,False,Charlotte
79,Female,138631,6,False,Washington
65,Female,70497,17,False,Columbus
34,Male,53643,8,False,Fort Worth
5,Female,22415,5,False,Austin
49,Male,133630,11,False,Jacksonville
65,Male,68700,10,False,San Diego
44,Female,94503,4,False,Indianapolis
46,Female,105824,10,False,Fort Worth
28,Male,57272,13,False,Houston
63,Male,47408,11,False,Los Angeles
31,Male,33981,4,False,Fort Worth
51,Female,118711,17,False,San Jose
71,Male,138494,8,False,Los Angeles
45,Male,44178,14,False,San Jose
40,Female,125213,20,False,San Diego
63,Female,102227,13,False,San Francisco
66,Male,138846,20,False,San Antonio
61,Female,128604,10,False,Dallas
64,Male,49178,2,False,Chicago
71,Male,147231,14,False,San Francisco
61,Female,126572,4,False,Dallas
40,Male,64985,19,False,Fort Worth
84,Female,116118,19,False,Houston
89,Female,122350,3,False,Los Angeles
55,Male,48761,4,False,Seattle
39,Male,109887,7,False,Phoenix
24,Male,36748,3,False,Charlotte
55,Male,46402,3,False,Seattle
83,Male,149295,9,False,Dallas
51,Female,65704,9,False,Philadelphia
42,Female,111410,4,False,Chicago
73,Female,71111,19,False,San Francisco
59,Male,56903,20,False,Washington
68,Male,83661,20,False,Indianapolis
29,Male,82962,6,False,Charlotte
84,Male,146572,1,False,Jacksonville
34,Male,100514,17,False,San Antonio
50,Female,143545,18,False,Washington
53,Female,34919,5,False,San Jose
39,Female,32613,7,False,Austin
62,Female,39972,15,False,Indianapolis
36,Female,28916,17,False,Austin
60,Female,48954,1,False,Houston
58,Male,80587,15,False,San Jose
86,Female,148293,2,False,Houston
73,Male,72679,19,False,Washington
27,Female,44789,6,False,Chicago
33,Female,71158,2,False,Philadelphia
89,Female,126584,15,False,San Diego
46,Male,21606,15,False,Austin
73,Female,140653,6,False,Dallas
51,Male,106399,20,False,New York
59,Male,135880,3,False,San Antonio
59,Female,131417,17,False,Phoenix
52,Female,83388,6,False,Los Angeles
35,Female,36336,1,False,Seattle
74,Male,122834,2,False,Jacksonville
65,Male,126181,2,False,Columbus
90,Male,120959,13,False,San Antonio
59,Female,118622,14,False,Indianapolis
17,Female,34354,17,False,Indianapolis
31,Female,67770,9,False,Philadelphia
79,Female,88701,9,False,Philadelphia
18,Female,60305,3,False,Fort Worth
6,Female,25172,7,False,San Diego
68,Female,74112,1,False,Los Angeles
74,Male,129540,13,False,Washington
44,Female,47052,12,False,Austin
52,Male,21546,19,False,San Jose
59,Male,113047,13,False,Indianapolis
69,Male,97928,18,False,Indianapolis
56,Female,44073,8,False,San Antonio
58,Male,24828,5,False,Columbus
47,Female,147317,14,False,Jacksonville
40,Female,83507,18,False,Washington
64,Female,85170,12,False,San Jose
18,Male,49527,2,False,Los Angeles
47,Male,86523,10,False,Dallas
64,Male,114462,19,False,San Jose
32,Male,98465,3,False,Seattle
56,Male,143303,12,False,Fort Worth
48,Male,76566,6,False,Seattle
43,Female,91825,3,False,Dallas
94,Female,139889,12,False,Denver
44,Female,30753,14,False,Washington
65,Male,140622,18,False,Washington
70,Male,132048,9,False,Los Angeles
23,Female,36758,19,False,Chicago
36,Male,33047,18,False,Philadelphia
45,Male,131510,19,False,Chicago
58,Female,44622,15,False,Jacksonville
74,Female,86035,7,False,New York
74,Female,141338,19,False,San Francisco
79,Male,109678,2,False,Phoenix
95,Male,139931,15,False,Indianapolis
20,Female,55160,17,False,Austin
49,Male,122828,11,False,Chicago
41,Female,85105,3,False,Denver
50,Female,82228,10,False,Philadelphia
69,Male,140238,18,True,Denver
64,Female,57919,16,False,Charlotte
47,Male,87569,18,False,Los Angeles
77,Male,123186,17,False,San Antonio
48,Male,45745,15,False,Austin
37,Female,23863,7,False,Chicago
72,Male,137678,7,False,Austin
77,Female,129161,12,False,San Antonio
42,Male,67773,7,False,Columbus
54,Male,143996,20,False,Houston
27,Male,77589,10,False,Dallas
51,Female,56180,6,False,San Diego
62,Female,95412,19,False,San Jose
77,Male,85839,18,False,San Francisco
62,Female,103944,3,False,San Francisco
46,Female,118753,5,False,Dallas
31,Male,45516,11,False,Indianapolis
44,Male,47776,12,False,San Antonio
4,Male,20533,5,False,San Antonio
34,Female,96343,14,False,San Antonio
49,Male,22471,20,False,Indianapolis
31,Male,91717,6,False,Columbus
47,Male,104498,13,False,Seattle
41,Male,60850,4,False,Seattle
34,Male,64737,17,False,Philadelphia
44,Male,137340,8,False,Philadelphia
88,Male,128401,3,False,Philadelphia
71,Male,139665,19,False,Jacksonville
71,Male,128758,17,False,Austin
31,Male,23758,20,False,Phoenix
63,Female,138585,7,False,Houston
33,Male,37336,7,False,Denver
36,Female,83743,1,False,Indianapolis
63,Female,50201,12,False,San Jose
53,Male,64797,4,False,Washington
57,Male,82895,5,False,Charlotte
45,Female,46074,3,False,Phoenix
69,Female,65612,10,False,New York
70,Male,91894,12,False,Jacksonville
49,Female,47867,6,False,Houston
22,Female,39959,4,False,Columbus
10,Male,31291,8,False,Indianapolis
42,Female,132955,13,False,Phoenix
68,Male,114980,1,True,Denver
54,Female,53681,4,False,Washington
20,Female,39421,8,False,Austin
75,Male,105975,20,False,San Antonio
57,Female,48580,20,False,Los Angeles
44,Male,56047,8,False,Phoenix
37,Female,82428,20,False,Houston
22,Female,41469,16,False,Chicago
70,Male,126264,8,False,Washington
67,Male,72645,19,False,Fort Worth
43,Female,132124,11,False,San Antonio
55,Female,22022,20,False,Jacksonville
77,Male,91296,17,False,San Diego
78,Female,139975,1,False,Houston
43,Male,69126,16,False,Philadelphia
42,Female,86486,6,False,Indianapolis
45,Female,67846,8,False,Houston
14,Male,29054,5,False,Austin
59,Female,99014,8,False,Washington
32,Female,29822,2,False,San Antonio
33,Female,79386,4,False,San Diego
47,Male,73216,16,False,San Diego
51,Male,61547,1,False,Washington
70,Male,68024,9,False,Fort Worth
64,Female,78614,9,False,San Jose
25,Female,64438,5,False,Indianapolis
10,Male,28874,3,False,New York
98,Female,146332,9,False,San Jose
59,Female,37711,1,False,Chicago
74,Female,97019,17,False,San Francisco
41,Male,99328,18,False,San Jose
35,Male,28485,13,False,San Jose
53,Male,61817,4,False,Indianapolis
54,Male,96567,4,False,Columbus
47,Female,89885,17,False,Indianapolis
77,Male,133796,3,False,Fort Worth
55,Female,145675,10,False,New York
60,Male,79835,16,False,San Diego
40,Female,102832,9,False,Phoenix
46,Female,77324,20,False,Philadelphia
47,Male,45764,17,False,Philadelphia
88,Female,128814,4,False,Charlotte
63,Female,93409,12,False,Fort Worth
88,Male,129537,9,False,Charlotte
64,Male,95539,16,False,Austin
46,Female,94397,17,False,San Antonio
66,Male,61871,12,False,San Francisco
51,Male,46155,17,False,Los Angeles
47,Male,54490,14,False,Washington
62,Female,125603,7,False,Washington
33,Female,40638,20,False,Washington
46,Female,52665,18,False,New York
62,Female,84246,3,False,San Diego
28,Female,58184,15,False,San Jose
67,Female,63514,6,False,San Francisco
41,Male,95339,9,False,Washington
45,Female,77729,3,False,Indianapolis
63,Male,123943,16,False,Philadelphia
81,Female,148077,10,False,Dallas
71,Male,101815,12,False,Los Angeles
68,Male,124042,6,False,Chicago
49,Male,107079,2,False,San Antonio
71,Male,75912,14,False,Los Angeles
66,Male,149688,19,False,Phoenix
64,Male,59229,10,False,San Francisco
53,Female,95321,19,False,San Francisco
64,Female,136038,2,False,Houston
47,Female,113599,19,False,Indianapolis
48,Female,97684,7,False,Chicago
60,Male,44150,18,False,San Diego
50,Female,52941,8,False,New York
18,Female,28550,15,False,San Francisco
58,Female,62649,5,False,Indianapolis
58,Male,127305,8,False,San Jose
42,Female,100439,2,False,Columbus
12,Female,20942,6,False,San Francisco
23,Male,57297,5,False,Jacksonville
42,Female,53196,13,False,Los Angeles
21,Female,31843,16,False,Indianapolis
39,Male,35659,6,False,Chicago
78,Male,87480,12,False,Houston
45,Male,87891,14,False,Washington
66,Female,66737,4,False,Austin
39,Male,78758,19,False,Fort Worth
85,Female,106293,8,False,San Diego
19,Female,52515,18,False,Jacksonville
50,Male,55996,16,False,Indianapolis
34,Female,77047,11,False,Phoenix
37,Male,46997,3,False,New York
78,Male,89799,1,False,San Diego
59,Female,123859,12,False,San Diego
80,Male,141201,15,False,Columbus
82,Male,96603,11,False,San Jose
42,Female,68101,3,False,San Diego
23,Male,31432,10,False,Philadelphia
54,Male,56811,19,False,Houston
59,Female,51304,3,False,Dallas
62,Female,36142,7,False,Denver
70,Female,93215,4,False,Indianapolis
61,Male,75674,1,False,Dallas
26,Male,46700,3,False,Indianapolis
34,Female,20568,1,False,Chicago
49,Female,142717,5,False,Dallas
78,Male,140930,18,False,Chicago
27,Female,22210,15,False,Phoenix
68,Female,126329,2,False,Austin
86,Female,140082,18,False,Fort Worth
34,Male,80308,3,False,Austin
56,Male,125428,14,False,Columbus
71,Female,83884,7,False,Phoenix
46,Female,112948,3,False,Jacksonville
45,Male,118647,10,False,Charlotte
18,Male,35385,1,False,Jacksonville
56,Female,47627,13,False,Austin
35,Female,64087,8,False,San Francisco
45,Male,32830,5,False,Indianapolis
47,Male,131645,12,False,San Francisco
72,Male,88119,10,False,Chicago
35,Male,75903,3,False,Fort Worth
52,Male,47805,8,False,Seattle
74,Female,105112,19,False,Chicago
45,Female,118457,18,False,Jacksonville
79,Female,96645,5,False,Fort Worth
38,Male,43633,19,False,Indianapolis
25,Male,80776,7,False,Indianapolis
19,Female,52053,12,False,Columbus
58,Male,96656,5,False,San Francisco
54,Female,62875,10,False,San Diego
78,Male,130923,12,False,San Francisco
25,Female,27444,1,False,New York
15,Female,30646,7,False,San Francisco
80,Female,106141,9,False,Philadelphia
72,Male,90939,19,True,Denver
45,Female,142491,20,False,New York
29,Female,30832,9,False,Chicago
94,Female,136558,19,False,San Jose
39,Male,77110,15,False,Charlotte
36,Male,96218,4,False,Jacksonville
29,Male,23252,17,False,Philadelphia
50,Male,25940,15,False,Seattle
44,Female,130753,10,False,San Jose
51,Female,56315,12,False,Fort Worth
38,Female,105827,13,False,Charlotte
70,Female,127880,15,False,Austin
64,Female,146475,15,False,Jacksonville
51,Female,32417,11,False,Washington
51,Male,46904,18,False,San Francisco
39,Female,46455,9,False,Jacksonville
26,Female,59774,15,False,Los Angeles
59,Male,109724,5,False,Chicago
45,Male,87011,1,False,San Jose
58,Male,68811,14,False,Washington
40,Male,122305,17,False,Houston
73,Male,94885,5,False,San Jose
17,Female,23934,3,False,Los Angeles
58,Male,35910,17,False,Los Angeles
38,Female,41374,20,False,Los Angeles
36,Female,57553,16,False,Phoenix
71,Male,138551,19,False,Washington
34,Female,88056,5,False,Los Angeles
56,Female,56868,20,False,Seattle
72,Male,109653,4,False,San Antonio
18,Female,62805,1,False,Fort Worth
12,Male,37161,20,False,San Antonio
59,Female,149105,10,False,San Diego
50,Male,77564,20,False,San Francisco
67,Male,63850,9,False,San Jose
32,Female,30992,20,False,San Jose
61,Male,95357,13,False,New York
84,Female,147850,10,False,Columbus
77,Female,83556,6,False,Austin
42,Female,119845,7,False,San Jose
57,Female,50413,18,False,Denver
83,Female,123951,15,False,Austin
49,Female,60507,14,False,Chicago
74,Male,97965,9,False,Los Angeles
87,Male,131392,19,False,Austin
50,Female,96279,14,False,Dallas
29,Male,50052,4,False,San Diego
55,Female,111076,19,False,Fort Worth
27,Female,58823,13,False,Houston
77,Male,129773,20,False,Austin
55,Female,67143,19,False,Fort Worth
71,Male,117800,1,False,Fort Worth
64,Male,146554,13,False,San Diego
58,Male,124947,7,False,Indianapolis
23,Female,26850,1,False,San Antonio
55,Female,35561,10,False,Columbus
48,Male,31311,19,False,Indianapolis
58,Female,36330,9,False,San Diego
26,Female,45569,7,False,Columbus
30,Female,56288,3,False,Dallas
54,Male,79901,12,False,San Jose
9,Male,35625,19,False,Dallas
86,Female,108308,1,False,Houston
14,Male,44837,16,False,Fort Worth
50,Female,112103,9,False,Indianapolis
46,Female,80733,18,False,Columbus
27,Female,57406,8,False,Houston
30,Male,64805,13,False,Philadelphia
20,Male,39806,4,False,San Antonio
74,Male,136769,3,False,New York
25,Male,36871,19,False,Columbus
53,Male,144660,8,False,San Jose
59,Male,72572,17,False,Dallas
53,Male,132450,10,False,Dallas
52,Female,93149,8,False,Dallas
50,Male,75765,17,False,San Jose
61,Male,35115,20,False,Austin
46,Male,124741,1,False,Chicago
51,Female,79602,14,False,Columbus
43,Male,31398,4,False,Washington
60,Male,113759,4,False,San Francisco
43,Female,115094,15,False,Columbus
66,Female,57751,16,False,San Antonio
35,Female,32666,18,False,San Diego
